N/A,PHSABC\vccdosim 09-Mar-2022 5:55:31 PM,,,,,,,,,,
x  = Dose ( cGy),y / % transmission,,,,,calibration strips given known dose,,,,,
derived calibration curve ,,,,,,,,,,,
,RED,,GREEN,,BLUE,DOSE (cGy),RED (%),DOSE (cGy),GREEN (%),DOSE (cGy),BLUE (%)
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
2113.7,5.7,2113.7,9,2113.7,21.5,,,,,,
2125.8,5.7,2125.8,8.9,2125.8,21.5,,,,,,
2138,5.6,2138,8.8,2138,21.4,,,,,,
2150.1,5.6,2150.1,8.8,2150.1,21.4,,,,,,
2162.3,5.5,2162.3,8.7,2162.3,21.4,,,,,,
2174.4,5.5,2174.4,8.6,2174.4,21.4,,,,,,
2186.5,5.5,2186.5,8.5,2186.5,21.4,,,,,,
2198.7,5.4,2198.7,8.5,2198.7,21.4,,,,,,
2210.8,5.4,2210.8,8.4,2210.8,21.4,,,,,,
2223,5.3,2223,8.3,2223,21.3,,,,,,
2235.1,5.3,2235.1,8.2,2235.1,21.3,,,,,,
2247.3,5.2,2247.3,8.2,2247.3,21.3,,,,,,
2259.4,5.2,2259.4,8.1,2259.4,21.3,,,,,,
2271.6,5.2,2271.6,8,2271.6,21.3,,,,,,
2283.7,5.1,2283.7,8,2283.7,21.3,,,,,,
2295.9,5.1,2295.9,7.9,2295.9,21.2,,,,,,
2308,5.1,2308,7.8,2308,21.2,,,,,,
2320.2,5,2320.2,7.8,2320.2,21.2,,,,,,
2332.3,5,2332.3,7.7,2332.3,21.2,,,,,,
2344.5,4.9,2344.5,7.6,2344.5,21.2,,,,,,
2356.6,4.9,2356.6,7.6,2356.6,21.2,,,,,,
2368.8,4.9,2368.8,7.5,2368.8,21.2,,,,,,
2380.9,4.8,2380.9,7.4,2380.9,21.1,,,,,,
2393.1,4.8,2393.1,7.4,2393.1,21.1,,,,,,
2405.2,4.8,2405.2,7.3,2405.2,21.1,,,,,,
2417.4,4.7,2417.4,7.2,2417.4,21.1,,,,,,
2429.5,4.7,2429.5,7.2,2429.5,21.1,,,,,,
2441.6,4.6,2441.6,7.1,2441.6,21.1,,,,,,
2453.8,4.6,2453.8,7.1,2453.8,21.1,,,,,,
2465.9,4.6,2465.9,7,2465.9,21.1,,,,,,
2478.1,4.5,2478.1,6.9,2478.1,21,,,,,,
2490.2,4.5,2490.2,6.9,2490.2,21,,,,,,
2502.4,4.5,2502.4,6.8,2502.4,21,,,,,,
2514.5,4.4,2514.5,6.7,2514.5,21,,,,,,
2526.7,4.4,2526.7,6.7,2526.7,21,,,,,,
2538.8,4.4,2538.8,6.6,2538.8,21,,,,,,
2551,4.3,2551,6.6,2551,21,,,,,,
2563.1,4.3,2563.1,6.5,2563.1,21,,,,,,
2575.3,4.3,2575.3,6.5,2575.3,20.9,,,,,,
2587.4,4.2,2587.4,6.4,2587.4,20.9,,,,,,
2599.6,4.2,2599.6,6.3,2599.6,20.9,,,,,,
2611.7,4.2,2611.7,6.3,2611.7,20.9,,,,,,
2623.9,4.2,2623.9,6.2,2623.9,20.9,,,,,,
2636,4.1,2636,6.2,2636,20.9,,,,,,
2648.2,4.1,2648.2,6.1,2648.2,20.9,,,,,,
2660.3,4.1,2660.3,6.1,2660.3,20.9,,,,,,
2672.4,4,2672.4,6,2672.4,20.8,,,,,,
2684.6,4,2684.6,5.9,2684.6,20.8,,,,,,
2696.7,4,2696.7,5.9,2696.7,20.8,,,,,,
2708.9,3.9,2708.9,5.8,2708.9,20.8,,,,,,
2721,3.9,2721,5.8,2721,20.8,,,,,,
2733.2,3.9,2733.2,5.7,2733.2,20.8,,,,,,
2745.3,3.9,2745.3,5.7,2745.3,20.8,,,,,,
2757.5,3.8,2757.5,5.6,2757.5,20.8,,,,,,
