0.138,204,597,2 s
0.144,601,378,0 s
0.176,884,831,2 s
0.042,626,596,3 s
0.075,533,162,7 s
0.093,828,992,7 s
0.056,588,901,6 s
0.413,935,777,5 s
0.136,550,322,6 s
0.048,616,191,8 s
0.123,364,613,7 s
0.121,530,212,8 s
0.062,384,336,3 s
0.054,858,114,3 s
0.042,265,391,5 s
0.053,707,471,2 s
0.095,233,681,2 s
0.155,408,167,7 s
0.021,645,647,7 s
0.070,316,177,2 s
0.127,803,751,5 s
0.036,337,742,5 s
0.124,646,037,5 s
0.131,574,540,7 s
0.047,331,875,6 s
0.155,380,051,3 s
0.214,781,806,5 s
0.089,767,291,7 s
0.038,545,926,2 s
0.122,168,010,7 s
0.030,037,641,3 s
0.033,211,771,8 s
0.159,228,709,2 s
0.104,914,518,5 s
0.052,212,503,0 s
0.121,360,950,8 s
0.210,175,629,2 s
0.194,421,220,2 s
0.036,980,659,9 s
0.087,002,038,5 s
0.061,245,696,7 s
0.086,128,602,0 s
0.094,296,531,3 s
0.074,783,317,9 s
0.119,949,099,2 s
0.101,628,132,0 s
0.084,958,815,0 s
0.082,810,740,2 s
0.186,076,971,0 s
0.086,724,151,2 s
0.045,518,136,9 s
0.155,365,511,0 s
0.060,148,454,2 s
0.154,013,990,3 s
0.081,673,893,7 s
0.131,858,330,0 s
0.027,070,265,0 s
0.041,860,100,0 s
0.228,288,551,5 s
0.093,512,805,2 s
0.122,787,718,3 s
0.160,894,855,1 s
0.051,927,915,2 s
0.122,420,881,8 s
0.135,480,613,2 s
0.109,345,563,7 s
0.061,093,861,3 s
0.039,418,647,8 s
0.227,379,763,0 s
0.062,877,500,7 s
0.095,402,031,5 s
0.165,513,673,8 s
0.130,792,541,5 s
0.035,312,010,5 s
0.062,724,742,5 s
0.039,409,375,8 s
0.086,938,091,5 s
0.072,233,982,6 s
0.042,095,670,1 s
0.216,577,024,0 s
0.091,509,389,3 s
0.044,207,367,8 s
0.056,927,284,8 s
0.518,437,502,2 s
0.089,882,883,5 s
0.044,276,553,3 s
0.083,516,305,0 s
0.065,898,858,0 s
0.154,169,630,3 s
0.160,422,396,2 s
0.068,320,623,3 s
0.289,621,844,0 s
0.061,974,971,7 s
0.105,833,885,2 s
0.141,220,323,5 s
0.066,718,643,8 s
0.041,766,094,7 s
0.091,212,064,0 s
0.205,170,996,8 s
0.063,939,486,2 s
0.036,462,994,1 s
0.107,381,784,3 s
0.273,840,983,5 s
0.086,252,538,3 s
0.135,817,104,0 s
0.070,002,899,7 s
0.055,424,797,2 s
0.147,683,238,0 s
0.101,763,341,1 s
0.077,654,825,5 s
0.047,610,834,4 s
0.074,694,487,8 s
0.048,457,066,0 s
0.094,524,006,7 s
0.233,896,745,0 s
0.070,799,415,0 s
0.104,924,845,5 s
0.071,918,172,8 s
0.032,696,248,9 s
0.104,774,300,2 s
0.099,927,140,2 s
0.114,984,941,8 s
0.046,304,806,0 s
0.043,028,273,8 s
0.092,155,103,6 s
0.052,715,500,2 s
0.052,777,399,0 s
0.123,005,483,7 s
0.041,033,379,0 s
0.060,294,626,5 s
